cn,name,position,playerScore,generations,total
改造木卫三,Terraforming Ganymede,2.107202680067002,91.81574539363484,8.433835845896148,597
少数民族难民,Minority Refuge,2.369747899159664,84.21344537815126,7.808403361344538,595
分解者,Decomposers,2.2319327731092438,86.72605042016806,8.047058823529412,595
先进的生态系统,Advanced Ecosystems,2.1747899159663864,88.08235294117647,8.173109243697478,595
木星大使馆,Jovian Embassy,2.4100840336134453,85.02016806722689,8.149579831932773,595
雇佣掠夺者,Hired Raiders,2.3659359190556493,81.70994940978078,8.251264755480607,593
斯坦福环面,Stanford Torus,2.4662162162162162,83.9695945945946,8.06081081081081,592
极端微生物,Extremophiles,2.2864406779661017,85.77796610169491,7.849152542372881,590
发明者指南,Inventors Guild,2.493197278911565,81.98299319727892,8.299319727891156,588
种植园,Plantation,2.3747870528109027,82.77172061328791,8.126064735945485,587
曲率引擎,Warp Drive,2.3225255972696246,87.58703071672355,7.890784982935154,586
太空酒店,Space Hotels,2.4366438356164384,83.77739726027397,8.335616438356164,584
捕获雷电,Lightning Harvest,2.3567753001715266,83.87650085763293,8.415094339622641,583
项目检测,Project Inspection,2.4339622641509435,83.4991423670669,8.005145797598628,583
木卫二护航队,Convoy From Europa,2.3917525773195876,81.81786941580756,8.094501718213058,582
木卫一的硫磺研究,Io Sulphur Research,2.245704467353952,87.90034364261169,8.109965635738831,582
诺提斯城,Noctis City,2.4362068965517243,81.29827586206896,8.339655172413794,580
行星采矿财团,Asteroid Mining Consortium,2.314878892733564,86.53979238754326,8.460207612456747,578
硫磺吞噬菌,Sulphur-Eating Bacteria,2.263888888888889,86.28993055555556,7.885416666666667,576
从欧罗巴(木卫二)注入水源,Water Import From Europa,2.222608695652174,89.13217391304347,8.326956521739131,575
太阳探测器,Solar Probe,2.2909407665505226,88.32229965156795,7.939024390243903,574
低温睡眠,Cryo Sleep,2.4111498257839723,85.3048780487805,7.937282229965157,574
航空制图器,Aerial Mappers,2.3891797556719023,86.1692844677138,8.075043630017452,573
受保护的山脉,Protected Valley,2.3796133567662565,82.00878734622144,8.240773286467487,569
肉类工业,Meat Industry,2.3221830985915495,85.52288732394366,7.857394366197183,568
机器人大军,Robotic Workforce,2.477031802120141,82.8286219081272,8.452296819787986,566
移民航天机,Immigration Shuttles,2.411660777385159,83.70671378091873,8.56183745583039,566
镭射服,Rad-Suits,2.5587188612099645,81.72241992882562,8.551601423487545,562
小行星,Asteroid,2.3482142857142856,82.69821428571429,8.151785714285714,560
太空港殖民地,Space Port Colony,2.2450805008944545,89.77996422182468,7.978533094812165,559
Eos 峡谷国家公园,Eos Chasma National Park,2.252688172043011,87.084229390681,8.25268817204301,558
红树林,Mangrove,2.149012567324955,86.07360861759426,7.983842010771993,557
蚂蚁,Ants,2.3579136690647484,85.17625899280576,8.248201438848922,556
