createtime,generations
2021-04-28,7.9375
2021-04-29,7.75
2021-04-30,7.818181818181818
2021-05-01,7.8
2021-05-02,7.533333333333333
2021-05-03,8.090909090909092
2021-05-04,7.777777777777778
2021-05-05,8.125
2021-05-06,8.0
2021-05-07,7.6
2021-05-08,7.615384615384615
2021-05-09,7.888888888888889
2021-05-10,7.529411764705882
2021-05-11,7.384615384615385
2021-05-12,8.181818181818182
2021-05-13,7.785714285714286
2021-05-14,7.666666666666667
2021-05-15,7.75
2021-05-16,7.636363636363637
2021-05-17,8.363636363636363
2021-05-18,7.6923076923076925
2021-05-19,8.222222222222221
2021-05-20,7.7
2021-05-21,8.0
2021-05-22,7.857142857142857
2021-05-23,7.571428571428571
2021-05-24,7.857142857142857
2021-05-25,7.333333333333333
2021-05-26,7.666666666666667
2021-05-27,7.777777777777778
2021-05-28,7.25
2021-05-29,7.5
2021-05-30,8.625
2021-05-31,6.9
2021-06-01,7.636363636363637
2021-06-02,7.636363636363637
2021-06-03,7.444444444444445
2021-06-04,9.0
2021-06-06,9.0
2021-06-07,8.0
2021-06-08,7.666666666666667
2021-06-09,7.0
2021-06-10,6.857142857142857
2021-06-11,7.588235294117647
2021-06-12,7.6923076923076925
2021-06-13,7.454545454545454
2021-06-14,7.785714285714286
2021-06-15,7.5
2021-06-16,7.833333333333333
2021-06-17,7.333333333333333
2021-06-18,7.3
2021-06-19,7.666666666666667
2021-06-20,7.7272727272727275
2021-06-21,7.8
2021-06-22,7.545454545454546
2021-06-23,6.333333333333333
2021-06-24,7.142857142857143
2021-06-25,7.8
2021-06-26,7.142857142857143
2021-06-27,7.166666666666667
2021-06-28,7.25
2021-06-29,7.909090909090909
2021-06-30,7.833333333333333
2021-07-01,7.2
2021-07-02,7.0
2021-07-03,7.571428571428571
2021-07-04,8.285714285714286
2021-07-05,7.714285714285714
2021-07-06,7.714285714285714
2021-07-07,7.0
2021-07-08,6.714285714285714
2021-07-09,7.0
2021-07-10,7.0
2021-07-11,7.428571428571429
2021-07-12,7.5
2021-07-13,7.5
2021-07-14,7.0
2021-07-15,6.5
2021-07-16,7.2
2021-07-17,6.75
2021-07-18,7.375
2021-07-19,6.6
2021-07-20,6.666666666666667
2021-07-21,6.333333333333333
2021-07-22,6.6
2021-07-23,6.909090909090909
2021-07-24,7.25
2021-07-25,7.4
2021-07-26,7.555555555555555
2021-07-27,6.5
2021-07-28,6.8
2021-07-29,7.0
2021-07-30,7.111111111111111
2021-07-31,7.75
2021-08-01,8.8
2021-08-02,7.6
2021-08-03,8.166666666666666
2021-08-04,7.222222222222222
2021-08-05,7.25
2021-08-06,6.777777777777778
2021-08-07,6.0
2021-08-08,6.5
2021-08-09,7.428571428571429
2021-08-10,6.285714285714286
2021-08-11,6.8
2021-08-12,7.375
2021-08-13,7.2
2021-08-14,6.888888888888889
2021-08-15,7.0
2021-08-16,7.5
2021-08-17,6.666666666666667
2021-08-18,7.5
2021-08-19,6.0
